Date;Cap_Mercado
Oct 14, 2021;393781061788
Oct 13, 2021;398481758407
Oct 12, 2021;386078107940
Oct 11, 2021;394100271696
Oct 10, 2021;388002749338
Oct 09, 2021;400005554456
Oct 08, 2021;395385744220
Oct 07, 2021;400768726529
Oct 06, 2021;388016529602
Oct 05, 2021;390106877752
Oct 04, 2021;376452153308
Oct 03, 2021;387313140890
Oct 02, 2021;386921294242
Oct 01, 2021;393650236229
Sep 30, 2021;366875921527
Sep 29, 2021;359157011738
Sep 28, 2021;352253593692
Sep 27, 2021;365308515155
Sep 26, 2021;377490250540
Sep 25, 2021;393394259725
Sep 24, 2021;387641647059
Sep 23, 2021;394999160605
Sep 22, 2021;382498828660
Sep 21, 2021;338986323070
Sep 20, 2021;349746347691
Sep 19, 2021;386593090711
Sep 18, 2021;401444869196
Sep 17, 2021;395427059957
Sep 16, 2021;405097283493
Sep 15, 2021;419836240111
Sep 14, 2021;400221679111
Sep 13, 2021;403668538230
Sep 12, 2021;433748889725
Sep 11, 2021;442522711319
Sep 10, 2021;397198150997
Sep 09, 2021;429130740452
Sep 08, 2021;409880185156
Sep 07, 2021;414395299537
Sep 06, 2021;471062435484
Sep 05, 2021;483756217907
Sep 04, 2021;470790663280
Sep 03, 2021;492555182638
Sep 02, 2021;492015122567
Sep 01, 2021;475334307487
Aug 31, 2021;462071725524
Aug 30, 2021;457258867902
Aug 29, 2021;477853697326
Aug 28, 2021;476432200371
Aug 27, 2021;497184398552
Aug 26, 2021;424884854194
Aug 25, 2021;461780633776
Aug 24, 2021;470670827257
Aug 23, 2021;506678662588
Aug 22, 2021;468927637379
Aug 21, 2021;420992017908
Aug 20, 2021;427631930688
Aug 19, 2021;419662453103
Aug 18, 2021;358754893750
Aug 17, 2021;325653539017
Aug 16, 2021;350670162156
Aug 15, 2021;365625811781
Aug 14, 2021;369424316309
Aug 13, 2021;360381626142
Aug 12, 2021;305712664252
Aug 11, 2021;299671646400
Aug 10, 2021;280954672254
Aug 09, 2021;248493874640
Aug 08, 2021;240134359419
Aug 07, 2021;247162643666
Aug 06, 2021;236063830709
Aug 05, 2021;229887829252
Aug 04, 2021;229561972299
Aug 03, 2021;226670129299
Aug 02, 2021;218973026974
Aug 01, 2021;220201735681
Jul 31, 2021;220866319163
Jul 30, 2021;213296132907
Jul 29, 2021;210664429328
Jul 28, 2021;212783615092
Jul 27, 2021;212060234185
Jul 26, 2021;209661900207
Jul 25, 2021;204837097374
Jul 24, 2021;205548940048
Jul 23, 2021;201037350400
Jul 22, 2021;197204898776
Jul 21, 2021;195403136008
Jul 20, 2021;177762560328
Jul 19, 2021;183804411271
Jul 18, 2021;194023231383
Jul 17, 2021;192145507308
Jul 16, 2021;192243642209
Jul 15, 2021;198772040934
Jul 14, 2021;208857323863
Jul 13, 2021;209738272472
Jul 12, 2021;221616307848
Jul 11, 2021;226484752202
Jul 10, 2021;224487069940
Jul 09, 2021;226749670001
Jul 08, 2021;222346092458
Jul 07, 2021;232952809852
Jul 06, 2021;230682509010
Jul 05, 2021;227126488242
Jul 04, 2021;235651343466
Jul 03, 2021;227461343151
Jul 02, 2021;224892163359
Jul 01, 2021;212084976641
Jun 30, 2021;219074870476
Jun 29, 2021;215347741505
Jun 28, 2021;208853960538
Jun 27, 2021;210480072371
Jun 26, 2021;197118280958
Jun 25, 2021;197263356675
Jun 24, 2021;215167420973
Jun 23, 2021;198478061359
Jun 22, 2021;184745470728
Jun 21, 2021;191744604970
Jun 20, 2021;232402490794
Jun 19, 2021;226122792253
Jun 18, 2021;226472385085
Jun 17, 2021;239395434876
Jun 16, 2021;238959341294
Jun 15, 2021;258289977616
Jun 14, 2021;257552740278
Jun 13, 2021;254708951233
Jun 12, 2021;241937524266
Jun 11, 2021;232023346180
Jun 10, 2021;247764543456
Jun 09, 2021;261285807943
Jun 08, 2021;255916447592
Jun 07, 2021;252021222807
Jun 06, 2021;270701852245
Jun 05, 2021;267598564341
Jun 04, 2021;277566669143
Jun 03, 2021;298464548824
Jun 02, 2021;288482821173
Jun 01, 2021;289205348307
May 31, 2021;291723617461
May 30, 2021;263363014803
May 29, 2021;234802891608
May 28, 2021;253105951465
May 27, 2021;279334834877
May 26, 2021;303691879598
May 25, 2021;264363188978
May 24, 2021;265551150270
May 23, 2021;227255342314
May 22, 2021;250948261365
May 21, 2021;261958085626
May 20, 2021;307126377523
May 19, 2021;249187076699
May 18, 2021;337543843858
May 17, 2021;342232389050
May 16, 2021;388923577681
May 15, 2021;366171185480
May 14, 2021;340034258464
May 13, 2021;327673688282
May 12, 2021;259095418790
May 11, 2021;294426571495
May 10, 2021;275179525449
May 09, 2021;296210963538
May 08, 2021;270886755662
May 07, 2021;278747058355
May 06, 2021;282271502049
May 05, 2021;256676156957
May 04, 2021;221442951135
May 03, 2021;236771363832
May 02, 2021;230537614484
May 01, 2021;235090215981
Apr 30, 2021;230659718639
Apr 29, 2021;223273537020
Apr 28, 2021;232670546281
Apr 27, 2021;227008768765
Apr 26, 2021;215992903060
Apr 25, 2021;190402635758
Apr 24, 2021;192666947011
Apr 23, 2021;201040533398
Apr 22, 2021;204092100039
Apr 21, 2021;214721695110
Apr 20, 2021;224292841051
Apr 19, 2021;213887318655
Apr 18, 2021;227722136142
Apr 17, 2021;247263640910
Apr 16, 2021;254254002833
Apr 15, 2021;267622935028
Apr 14, 2021;265867477703
Apr 13, 2021;258609329157
Apr 12, 2021;238773952572
Apr 11, 2021;230379701023
Apr 10, 2021;221194823004
Apr 09, 2021;214107001676
Apr 08, 2021;218695862944
Apr 07, 2021;210017482120
Apr 06, 2021;227170938418
Apr 05, 2021;221599925071
Apr 04, 2021;217268459228
Apr 03, 2021;213959978186
Apr 02, 2021;218230994541
Apr 01, 2021;214029752774
Mar 31, 2021;220103860364
Mar 30, 2021;224153300090
Mar 29, 2021;221063770942
Mar 28, 2021;219048686700
Mar 27, 2021;216373494049
Mar 26, 2021;219107739499
Mar 25, 2021;197829296587
Mar 24, 2021;189622867756
Mar 23, 2021;197282150071
Mar 22, 2021;194681879068
Mar 21, 2021;208601085431
Mar 20, 2021;211653647421
Mar 19, 2021;231326553268
Mar 18, 2021;221057642189
Mar 17, 2021;247751557100
Mar 16, 2021;223020606854
Mar 15, 2021;182159471657
Mar 14, 2021;187905031189
Mar 13, 2021;195739558752
Mar 12, 2021;183795700915
Mar 11, 2021;203841990555
Mar 10, 2021;210417716156
Mar 09, 2021;224373111369
Mar 08, 2021;203344541824
Mar 07, 2021;206069882436
Mar 06, 2021;205641716908
Mar 05, 2021;211674341486
Mar 04, 2021;200151801464
Mar 03, 2021;220630823639
Mar 02, 2021;220921908602
Mar 01, 2021;231424121448
Feb 28, 2021;227870458941
Feb 27, 2021;230797318636
Feb 26, 2021;213573018484
Feb 25, 2021;181519938400
Feb 24, 2021;178034164526
Feb 23, 2021;162361608865
Feb 22, 2021;184094390849
Feb 21, 2021;184302002721
Feb 20, 2021;188053850417
Feb 19, 2021;156642732692
Feb 18, 2021;153900073997
Feb 17, 2021;148877271671
Feb 16, 2021;145494322834
Feb 15, 2021;143860779922
Feb 14, 2021;141748729244
Feb 13, 2021;151325011709
Feb 12, 2021;154549476165
Feb 11, 2021;155471345020
Feb 10, 2021;155675176495
Feb 09, 2021;117451733150
Feb 08, 2021;114076547065
Feb 07, 2021;110826339298
Feb 06, 2021;104918998927
Feb 05, 2021;90821947198
Feb 04, 2021;73464564313
Feb 03, 2021;73729257431
Feb 02, 2021;72034391739
Feb 01, 2021;68323828317
Jan 31, 2021;58613881240
Jan 30, 2021;61624759542
Jan 29, 2021;58929351081
Jan 28, 2021;58313722981
Jan 27, 2021;52174163337
Jan 26, 2021;58554583627
Jan 25, 2021;58497593360
Jan 24, 2021;60193418450
Jan 23, 2021;58792251935
Jan 22, 2021;58197414578
Jan 21, 2021;51073087321
Jan 20, 2021;62573748777
Jan 19, 2021;60827926060
Jan 18, 2021;61141293397
Jan 17, 2021;62555613554
Jan 16, 2021;58041004421
Jan 15, 2021;48919431441
Jan 14, 2021;51172449976
Jan 13, 2021;51936352301
Jan 12, 2021;49023173861
Jan 11, 2021;46449521138
Jan 10, 2021;51371326874
Jan 09, 2021;56128379229
Jan 08, 2021;51445221513
Jan 07, 2021;49599900106
Jan 06, 2021;54583190666
Jan 05, 2021;42568811874
Jan 04, 2021;36421205439
Jan 03, 2021;33123064290
Jan 02, 2021;28667852979
Jan 01, 2021;28334058493
Dec 31, 2020;29312746752
Dec 30, 2020;29832697744
Dec 29, 2020;31370255422
Dec 28, 2020;28652927134
Dec 27, 2020;25063871159
Dec 26, 2020;25615993462
Dec 25, 2020;25573801559
Dec 24, 2020;24813675174
Dec 23, 2020;21897576974
Dec 22, 2020;24892802845
Dec 21, 2020;24236761220
Dec 20, 2020;25716407938
Dec 19, 2020;26149031906
Dec 18, 2020;25966764923
Dec 17, 2020;25858499338
Dec 16, 2020;26501221123
Dec 15, 2020;24576318389
Dec 14, 2020;24907506158
Dec 13, 2020;24268156563
Dec 12, 2020;22770052198
Dec 11, 2020;21803656292
Dec 10, 2020;22845304657
Dec 09, 2020;23608530574
Dec 08, 2020;22358774329
Dec 07, 2020;24727372682
Dec 06, 2020;25488915736
Dec 05, 2020;25617443656
Dec 04, 2020;23764563956
Dec 03, 2020;26658474724
Dec 02, 2020;25683261455
Dec 01, 2020;25879185077
Nov 30, 2020;28493238635
Nov 29, 2020;27706776171
Nov 28, 2020;27399493023
Nov 27, 2020;23417348810
Nov 26, 2020;22907453562
Nov 25, 2020;25943362407
Nov 24, 2020;28159217988
Nov 23, 2020;25697157810
Nov 22, 2020;24231155258
Nov 21, 2020;22253431151
Nov 20, 2020;19516299691
Nov 19, 2020;17664414570
Nov 18, 2020;17641716840
Nov 17, 2020;18470923450
Nov 16, 2020;17665324144
Nov 15, 2020;17072949954
Nov 14, 2020;17696295200
Nov 13, 2020;18066748338
